titles,years,genres,imdb,runtime,description,stars,votes,type,original
The Innocents,2018,"Drama, Horror, Mystery",6.3,60 min,"When teenagers Harry and June run away from their repressive families to be together, they're derailed by an extraordinary discovery - June's ability to shape-shift. A scientist tries to capture her and discover the key to her power.","Sorcha Groundsell, Percelle Ascott, Guy Pearce, Jóhannes Haukur Jóhannesson","5,090",TV Show,Netflix
The Iliza Shlesinger Sketch Show,2020,Comedy,4.8,,"From the mind of Iliza Shlesinger comes a secret world filled with absurd characters, insight into the female experience, and irreverent yet poignant social commentary.","Iliza Shlesinger, Glo Tavarez, Kerry Coddett, Iliana Inocencio",736,TV Show,Netflix
The Idhun Chronicles,2020,"Animation, Action, Fantasy",5.1,,"The day the three Suns and three Moons came together in alignment over Idhun, Ashran, the necromancer, seized power and the reign of the winged snakes started.","Itzan Escamilla, Michelle Jenner, Nico Romero, Sergio Mur",225,TV Show,Netflix
The House of Flowers,2018,"Comedy, Drama",7.7,60 min,A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.,"Cecilia Suárez, Claudette Maillé, Dario Yazbek Bernal, Juan Pablo Medina","6,474",TV Show,Netflix
The Hookup Plan,2018,Comedy,7.3,27 min,"Elsa, a Parisian, can not forget her ex. Her best friend secretly hires an escort boy to help her move on but the plan works a little too well .","Zita Hanrot, Gilli Messer, Sabrina Ouazani, Brandee Steger","3,480",TV Show,Netflix
The Honeymoon Stand-up Special,2018,Comedy,6.8,31 min,Husband-and-wife comics Moshe Kasher and Natasha Leggero share their terror and reluctance on becoming new parents; she wonders why men are needed at this point; he recalls a story from his... See full summary »,"Moshe Kasher, Natasha Leggero",456,TV Show,Netflix
The Hollow,2018,"Animation, Drama, Family",7.2,24 min,Three teen strangers awaken in a dangerous world and try to make sense of what connection they have to each other as they attempt to make it out alive.,"Ashleigh Ball, Connor Parnall, Adrian Petriw, Mark Hildreth","3,254",TV Show,Netflix
The Healing Powers of Dude,2020,"Action, Comedy, Family",6.4,25 min,"Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.","Jace Chapman, Larisa Oleynik, Mauricio Lara, Sophie Kim",562,TV Show,Netflix
The Great Heist,2020,"Crime, Drama, Thriller",7.3,,TV series follows the robbery of Colombia's central bank in October 1994 when a thieves made off with $33million.,"Andrés Parra, Christian Tappan, Waldo Urrego, Marcela Benjumea","1,615",TV Show,Netflix
The Goop Lab,2020,"Documentary, Reality-TV",2.4,30 min,"Leading with curiosity, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics.","Gwyneth Paltrow, Elise Loehnen, Ana Hito, Kate Woflson","2,719",TV Show,Netflix
The Good Cop,2018,"Comedy, Crime, Drama",7,60 min,"A disgraced former NYPD officer lives with his son, an earnest, obsessively honest NYPD detective.","Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.","4,723",TV Show,Netflix
The Gift,2019,"Drama, Fantasy, Mystery",7.4,40 min,A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.,"Beren Saat, Mehmet Günsür, Melisa Senolsun, Civan Canova","16,132",TV Show,Netflix
The Ghost Bride,2020,Drama,5.9,,A woman living in 1890s Colonial-era Malacca receives a proposal to become the ghost bride of a a wealthy family's recently-deceased son.,"Peijia Huang, Kang Ren Wu, Ludi Lin, Kuang Tian",516,TV Show,Netflix
The Get Down,2016,"Drama, Music, Musical",8.3,52 min,A ragtag group of teenagers run wild in the streets of the Bronx in the late 1970s.,"Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks","20,761",TV Show,Netflix
The Forest of Love: Deep Cut,2020,"Crime, Drama, Horror",6.9,,Nothing is as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.,"Chiho Fujii, Kyoko Hinami, Shinnosuke Mitsushima, Kippei Shîna",169,TV Show,Netflix
The Fix,2018,"Comedy, Talk-Show",7.1,30 min,Host Jimmy Carr attempts to solve the world's biggest problems through comedy.,"Jimmy Carr, D.L. Hughley, Katherine Ryan, Mona Chalabi","1,524",TV Show,Netflix
The Final Table,2018,Reality-TV,7.7,60 min,Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.,"Andrew Knowlton, Mark Best, Shane Osborn, Grant Achatz","3,033",TV Show,Netflix
The Family,2019,Documentary,6.4,249 min,"An enigmatic Christian group known as The Family wields enormous influence in Washington, DC, in pursuit of its global ambitions.","Jeff Sharlet, James Cromwell, Doug Hampton, Lisa Getter","2,839",TV Show,Netflix
The Epic Tales of Captain Underpants in Space,2020,"Animation, Action, Comedy",6.8,,Fourth-grade friends George and Harold have a shared love of pranks and comic books -- and turning their principal into an undies-wearing superhero.,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin",33,TV Show,Netflix
The Epic Tales of Captain Underpants,2018,"Animation, Short, Action",6.7,24 min,"Best friends George and Harold scheme together a number of pranks at school involving their principal, whose alter ego is a superhero they created called Captain Underpants.","Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin",617,TV Show,Netflix
The End of the F***ing World,2017,"Adventure, Comedy, Crime",8.1,25 min,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley","138,829",TV Show,Netflix
The Eddy,2020,"Drama, Musical",7.2,,A French club owner deals with the everyday chaos of running a live music venue in the heart of Paris.,"André Holland, Joanna Kulig, Leïla Bekhti, Adil Dehbi","2,160",TV Show,Netflix
The Duchess,2020,"Comedy, Drama",6.7,30 min,A single mom tries to raise her daughter in London while wondering if she should have another kid.,"Katherine Ryan, Rory Keenan, Katy Byrne, Steen Raskopoulos","3,526",TV Show,Netflix
The Dragon Prince,2018,"Animation, Adventure, Drama",8.4,26 min,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson","15,560",TV Show,Netflix
The Disastrous Life of Saiki K.: Reawakened,2019,"Animation, Comedy",7.9,,"Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now.","Hiroshi Kamiya, Ai Kayano, Jon Bailey, Jalen K. Cassell",612,TV Show,Netflix
The Disappearance of Madeleine McCann,2019,"Documentary, Crime",6.6,60 min,"The Disappearance of Madeleine McCann takes a detailed look at the disappearance of three-year-old Madeleine McCann, who vanished from the seaside resort of Praia de Luz in Portugal, while on holiday with her family.","Anthony Summers, Gonçalo Amaral, Robbyn Swan, Jim Gamble","7,977",TV Show,Netflix
The Degenerates,2018,Comedy,6.2,30 min,"A series of no-holds-barred comedy from the likes of rising comics like Big Jay Oakerson, Joey Diaz, Liza Treyger, Yamaneika Saunders, Christina P. and Brad Williams.","Joey Diaz, Jay Oakerson, Christina Pazsitzky, Yamaneika Saunders",549,TV Show,Netflix
The Day I Met El Chapo: The Kate Del Castillo Story,2017,"Documentary, Biography",6.9,60 min,Famed Mexican actress Kate del Castillo introduces a Hollywood star to a fugitive drug lord. What could go wrong? For her: a lot.,"Kate del Castillo, Jessica Maldonado, Marianne Sauvage, Eric del Castillo",911,TV Show,Netflix
The Dark Crystal: Age of Resistance,2019,"Adventure, Drama, Family",8.5,60 min,"Returns to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world.","Neil Sterenberg, Beccy Henderson, Nathalie Emmanuel, Taron Egerton","20,490",TV Show,Netflix
The Curious Creations of Christine McConnell,2018,"Comedy, Horror, Talk-Show",7.7,26 min,"Part cooking show, part sitcom in the vein of the Addams Family and the Muppet Show set inside the enchanted home of Christine McConnell, who has attracted hundreds of thousands of social media followers with her creepy edible creations.","Mick Morgana Ignis, Tim Lagasse, Drew Massey, Christine H. McConnell","2,136",TV Show,Netflix
The Crown,2016,"Drama, History",8.7,58 min,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith","122,527",TV Show,Netflix
The Confession Tapes,2017,"Documentary, Crime",7.5,46 min,A critical look into some true crime cases where American law enforcement made up for lack of actual physical evidence by using devious psychological tactics during interrogation in order to extract confessions from naive suspects.,"David Burns, Loretta Fisher, Brian Hutchinson, Sarah Isaacs","4,639",TV Show,Netflix
The Comedy Lineup,2018,Comedy,5.8,15 min,Substantial laughs. Bite-sized specials. Spend an evening with the next generation of stand-up comedy stars.,"Aisling Bea, Michelle Buteau, J.R. De Guzman, Tim Dillon",368,TV Show,Netflix
The Club,2019,"Comedy, Drama",6.3,30 min,"Dealing with the pressure of his father and his need to be someone, Pablo decides to start a new shady, tricky business that will lead him to some happy but tragic experiences.","Alejandro Speitzer, Minnie West, Jorge Caballero, Ana Gonzalez Bello",598,TV Show,Netflix
The Circle: France,2020,Reality-TV,7.4,,"Status and strategy collide in this social media competition where online players flirt, befriend and catfish their way toward 100,000 euros.","Alfred Gerbet, Romain Ben, Maxime Merkouchenko, Éléa",360,TV Show,Netflix
The Circle: Brazil,2020,Reality-TV,6.9,,"Be yourself or someone else? In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$ 300,000 prize.","Giovanna Ewbank, Raphael Dumaresq, J.P. Gadelha, Marina Gregory",471,TV Show,Netflix
The Circle,2020,"Game-Show, Reality-TV",7.4,48 min,"Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".","Michelle Buteau, Sammie Cimarelli, Shubham Goel, Chris Sapphire","3,376",TV Show,Netflix
The Chosen One,2019,"Mystery, Thriller",5.6,40 min,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.","Renan Tenca, Paloma Bernardi, Gutto Szuster, Pedro Caetano",529,TV Show,Netflix
The Chef Show,2019,Documentary,8.2,30 min,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.","Jon Favreau, Roy Choi, Aaron Franklin, Andrew Rea","3,802",TV Show,Netflix
The Characters,2016,Comedy,5.2,30 min,No rules. No expectations. A half hour to make their mark. Eight different comedians each get an episode to show their skills in comedy.,"John T. Reynolds, Kate Berlant, John Early, Jon Bander",673,TV Show,Netflix
The Cabin with Bert Kreischer,2020,"Comedy, Reality-TV",7.2,,"After years on the grind, Bert Kreischer sets out on a purifying retreat to a remote cabin.","Bert Kreischer, Anthony Anderson, Deon Cole, Kaley Cuoco",959,TV Show,Netflix
The Break with Michelle Wolf,2018,"Comedy, Talk-Show",5.2,25 min,Comedian Michelle Wolf riffs on the latest topics and trends of the day.,"Michelle Wolf, D.J. Jer-z, Michael Hartney, Evan Kaufman","1,784",TV Show,Netflix
The Boss Baby: Back in Business,2018,"Animation, Adventure, Comedy",6.4,25 min,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","JP Karliak, David W. Collins, Pierce Gagnon, Kevin Michael Richardson","2,196",TV Show,Netflix
The Bonfire of Destiny,2019,"Drama, History",7.7,48 min,"After a devastating fire in 1897 Paris, three women find their lives upended by betrayal, deception, and romantic turmoil. Inspired by real events.","Audrey Fleurot, Julie De Bona, Camille Lou, Gilbert Melki","2,550",TV Show,Netflix
The Big Show Show,2020,Comedy,6.4,,"When Big Show's teenage daughter comes to live with him and his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention.","Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant","1,751",TV Show,Netflix
The Big Flower Fight,2020,Reality-TV,7.5,,"Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.","Kristen Griffith-Vanderyacht, Natasia Demetriou, Vic Reeves",707,TV Show,Netflix
The Ballad of Hugo Sánchez,2018,"Comedy, Drama",6.5,,Hugo Sanchez is tasked with leading the Cuervos into the Duel of the Birds tournament despite his personal life pulling him back toward the family business.,"Jesús Zavala, Mauro Mauad, Ianis Guerrero, Raúl Briones",673,TV Show,Netflix
The Baby-Sitters Club,2020,"Comedy, Drama, Family",7.4,,Based on the book series of the same name focusing on a group of young girls who start their own babysitting service.,"Sophie Grace, Momona Tamada, Shay Rudolph, Malia Baker","2,009",TV Show,Netflix
The American Barbecue Showdown,2020,Reality-TV,7.2,,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,"Kevin Bludso, Melissa Cookston, Lyric Lewis, Rutledge Wood",547,TV Show,Netflix
The Adventures of Puss in Boots,2015,"Animation, Action, Adventure",6.7,23 min,"The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.","Eric Bauza, Jayma Mays, Grey Griffin, Paul Rugg","1,314",TV Show,Netflix
Terrorism Close Calls,2018,Documentary,5.3,50 min,"The war on terror is everywhere and anywhere. In this series, we learn about the deadly terrorist attacks that almost happened or were not as deadly as planned. Each episodes explores a ... See full summary »","Dylan Berry, David Bitkower, Don Borelli, Pete King",503,TV Show,Netflix
